,Timestamp,Tweet
100,2019-04-13 14:35:20,"RT @Twitter: @Lukescales69 Half the Avengers during Thanos' snap: 

⠀/\⠀      
_/  \  /\_________________
⠀   \/⠀⠀"
101,2019-04-13 14:35:18,RT @courtneypochin: Can you believe @taylorswift13 is really going to save the universe from Thanos???? #TaylorSwiftApril26 https://t.co/ev…
102,2019-04-13 14:35:15,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
103,2019-04-13 14:35:14,RT @courtneypochin: Can you believe @taylorswift13 is really going to save the universe from Thanos???? #TaylorSwiftApril26 https://t.co/ev…
104,2019-04-13 14:35:14,RT @rouglack: Dowoon legit called Captain Marvel as “THAT NOONA” and “THANOS HYUNG” asdfghjjklllznzn we stan a super respectful boy!!! 😭😭🤣🤣…
105,2019-04-13 14:35:09,RT @allycraze: characters who would defeat Thanos https://t.co/YDvkYB4RrT
106,2019-04-13 14:35:07,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
107,2019-04-13 14:35:02,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
108,2019-04-13 14:34:55,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
109,2019-04-13 14:34:55,@MATTHARDYBRAND @Avengers Thanos will be DELETED
110,2019-04-13 14:34:55,"RT @deanslafitte: antman: hey thanos spell ‘me’

thanos: m-e

antman: you forgot the ‘u’

thanos: there is no ‘u’ in me-

antman, shrinking…"
111,2019-04-13 14:34:48,RT @eatyoungk: @rouglack I'm here drumㅡ thanos hyungnim https://t.co/kzDODs3EQy
112,2019-04-13 14:34:46,@666arsene wanna snap some mfers like thanos
113,2019-04-13 14:34:45,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
114,2019-04-13 14:34:45,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
115,2019-04-13 14:34:44,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
116,2019-04-13 14:34:42,RT @rouglack: Dowoon legit called Captain Marvel as “THAT NOONA” and “THANOS HYUNG” asdfghjjklllznzn we stan a super respectful boy!!! 😭😭🤣🤣…
117,2019-04-13 14:34:39,RT @fabuIoser: taylor swift will defeat thanos on the 26th
118,2019-04-13 14:34:36,RT @rouglack: Dowoon legit called Captain Marvel as “THAT NOONA” and “THANOS HYUNG” asdfghjjklllznzn we stan a super respectful boy!!! 😭😭🤣🤣…
119,2019-04-13 14:34:34,RT @rouglack: Dowoon legit called Captain Marvel as “THAT NOONA” and “THANOS HYUNG” asdfghjjklllznzn we stan a super respectful boy!!! 😭😭🤣🤣…
120,2019-04-13 14:34:31,@sir_virgi i would choose Thanos
